Name,url,Active,Years Played,Position,Clubs Played,IOC
Oleksiy Dovhyi,/en/players/7a47e204/Oleksiy-Dovhyi,True,2011-2024,MF,"Рух, PFC Oleksandriya, FC Lviv, Metalist Kharkiv, Illichivets Mariupol, Stal Kamianske, Vorskla Polt",UKR
Maksym Drachenko,/en/players/45754d66/Maksym-Drachenko,True,2014-2018,MF,"Olimpik Donetsk, Zirka Kropyvnytskyi",UKR
Oleksandr Drambaiev,/en/players/e2bf5c59/Oleksandr-Drambaiev,True,2020-2024,DF,"Osijek, FC Mariupol, Zulte Waregem",UKR
Kyrylo Dryshlyuk,/en/players/ad5ac263/Kyrylo-Dryshlyuk,True,2016-2024,MF,"Zorya Luhansk, FC Oleksandriya, Zirka Kropyvnytskyi",UKR
Vladyslav Dubinchak,/en/players/8c5506ec/Vladyslav-Dubinchak,True,2018-2024,DF,"Dynamo Kyiv, Ukraine, SC Dnipro-1, Arsenal-Kyiv, Karpaty Lviv",UKR
Valeriy Dubko,/en/players/e37dd3a6/Valeriy-Dubko,True,2019-2024,DF,"Obolon-Brovar Kyiv, Chornomorets Odesa, Vorskla Poltava, Dender",UKR
Ivan Dubovyi,/en/players/0dcedd45/Ivan-Dubovyi,True,2023-2024,GK,FK LNZ-Lebedyn,UKR
Yurii Dudnyk,/en/players/f0fb79f0/Yurii-Dudnyk,True,2020-2021,DF,,UKR
Oleksandr Dykhtiaruk,/en/players/ffbcdfa0/Oleksandr-Dykhtiaruk,True,2021-2022,DF,,UKR
Zidan-Tymofiy Dzhasim,/en/players/4ad29091/Zidan-Tymofiy-Dzhasim,True,2023-2024,DF,FC Polissya Zhytomyr,UKR
Mukhammad Dzhumabaiev,/en/players/0668d87f/Mukhammad-Dzhumabaiev,True,2023-2024,MF,Рух,UKR
Marian Faryna,/en/players/9b5849b8/Marian-Faryna,True,2022-2024,DF,"FK Metalist 1925 Kharkiv, Shakhtar Donetsk",UKR
Dmytro Fastov,/en/players/9f20b2d1/Dmytro-Fastov,True,2017-2018,GK,,UKR
Dmytro Fatyeyev,/en/players/ae35b956/Dmytro-Fatyeyev,True,2016-2024,"DF,MF","Obolon-Brovar Kyiv, Zirka Kropyvnytskyi",UKR
Artem Favorov,/en/players/64c4e2ab/Artem-Favorov,True,2016-2024,MF,"Puskás Akadémia, Desna Chernihiv, Zalaegerszeg, Zirka Kropyvnytskyi",UKR
Oleh Fedor,/en/players/e4d5cb77/Oleh-Fedor,True,2022-2024,MF,Рух,UKR
Vitaliy Fedoriv,/en/players/4b3c87ff/Vitaliy-Fedoriv,True,2006-2023,DF,"Amkar Perm, Olimpik Donetsk, Kryvbas Kryvyi Rih, Dynamo Kyiv, FK Metalist Kharkiv",UKR
Nazarii Fedorivskyi,/en/players/d042b97c/Nazarii-Fedorivskyi,True,2023-2024,GK,Obolon-Brovar Kyiv,UKR
Nikita Fedotov,/en/players/9f974eab/Nikita-Fedotov,True,2021-2023,GK,,UKR
Kiril Fesiun,/en/players/660047ba/Kiril-Fesiun,True,2019-2024,GK,FC Kolos Kovalivka,UKR
Davyd Fesyuk,/en/players/b31c1c4f/Davyd-Fesyuk,True,2022-2023,GK,,UKR
Oleksandr Filippov,/en/players/30beee0b/Oleksandr-Filippov,True,2012-2024,FW,"SC Dnipro-1, Desna Chernihiv, Sint-Truiden, Arsenal Kyiv",UKR
Mykola Gajduchyk,/en/players/90767c93/Mykola-Gajduchyk,True,2021-2024,FW,Veres Rivne,UKR
Vasyl Gakman,/en/players/05a2abaf/Vasyl-Gakman,True,2023-2024,FW,Veres Rivne,UKR
Denys Garkavenko,/en/players/90a2d5e1/Denys-Garkavenko,True,2023-2024,DF,FC Oleksandriya,UKR
Dmytro Godya,/en/players/ef2a8eca/Dmytro-Godya,True,2022-2024,MF,Veres Rivne,UKR
Іvan Golovkіn,/en/players/cf5f4fdd/Ivan-Golovkin,True,2017-2024,MF,"Zorya Luhansk, FK Inhulets",UKR
Roman Gorenko,/en/players/78da1a48/Roman-Gorenko,True,2022-2023,MF,,UKR
Oleg Gorin,/en/players/656404cf/Oleg-Gorin,True,2019-2024,DF,"SC Dnipro-1, FK Mynai",UKR
Oleksii Goryainov,/en/players/870ca32a/Oleksii-Goryainov,True,2022-2023,MF,,UKR
Mikhail Gotra,/en/players/0fe3163b/Mikhail-Gotra,True,2021-2024,GK,Kisvárda,UKR
Igor Guk,/en/players/5989ba01/Igor-Guk,True,2021-2023,DF,,UKR
Ehor Gunichev,/en/players/7cddbbaf/Ehor-Gunichev,True,2022-2024,MF,FK Mynai,UKR
Oleksiy Gusiev,/en/players/354fce9b/Oleksiy-Gusiev,True,2022-2024,DF,Dynamo Kyiv,UKR
Artem Habelok,/en/players/58b154d6/Artem-Habelok,True,2018-2024,MF,"FK Metalist 1925 Kharkiv, Vorskla Poltava",UKR
Illia Hadzhuk,/en/players/4acd7765/Illia-Hadzhuk,True,2019-2021,DF,Vorskla Poltava,UKR
Ramik Hadzhyiev,/en/players/f97b3ea4/Ramik-Hadzhyiev,True,2023-2024,FW,SC Dnipro-1,UKR
Roman Hahun,/en/players/714eb003/Roman-Hahun,True,2020-2024,DF,"Veres Rivne, Рух",UKR
Taras Halas,/en/players/fe774edf/Taras-Halas,True,2023-2024,FW,Vorskla Poltava,UKR
Denys Halata,/en/players/77861e63/Denys-Halata,True,2019-2020,FW,Vorskla Poltava,UKR
